itemID,productID,itemDescription
2000,2123,"Cat Food"
2001,2124,"Dog Food"
2002,2125,"Fish Food"
2003,2126,"Bird Food"
2004,2127,"Cat Toy"
2005,2128,"Dog Toy"
2006,2129,"Fish Toy"
2007,2130,"Bird Toy"
2008,2131,"Fish Tank"
2009,2132,"Cat Tower"
2010,2133,"Dog Cage"
2011,2134,"Bird Cage"
2012,2123,"Cat Food"
2013,2124,"Dog Food"
2014,2125,"Fish Food"
2015,2126,"Bird Food"
2016,2127,"Cat Toy"
2017,2128,"Dog Toy"
2018,2129,"Fish Toy"
2019,2130,"Bird Toy"
2020,2131,"Fish Tank"
2021,2132,"Cat Tower"
2022,2133,"Dog Cage"
2023,2134,"Bird Cage"
2024,2123,"Cat Food"
2025,2124,"Dog Food"
2026,2125,"Fish Food"
2027,2126,"Bird Food"
2028,2127,"Cat Toy"
2029,2128,"Dog Toy"
2030,2129,"Fish Toy"
2031,2130,"Bird Toy"
2032,2131,"Fish Tank"
2033,2132,"Cat Tower"
2034,2133,"Dog Cage"
2035,2134,"Bird Cage"
2036,2123,"Cat Food"
2037,2124,"Dog Food"
2038,2125,"Fish Food"
2039,2126,"Bird Food"
2040,2127,"Cat Toy"
2041,2128,"Dog Toy"
2042,2129,"Fish Toy"
2043,2130,"Bird Toy"
2044,2131,"Fish Tank"
2045,2132,"Cat Tower"
2046,2133,"Dog Cage"
2047,2134,"Bird Cage"
2048,2123,"Cat Food"
2049,2124,"Dog Food"
2050,2125,"Fish Food"
2051,2126,"Bird Food"
2052,2127,"Cat Toy"
2053,2128,"Dog Toy"
2054,2129,"Fish Toy"
2055,2130,"Bird Toy"
2056,2131,"Fish Tank"
2057,2132,"Cat Tower"
2058,2133,"Dog Cage"
2059,2134,"Bird Cage"
2060,2123,"Cat Food"
2061,2124,"Dog Food"
2062,2125,"Fish Food"
2063,2126,"Bird Food"
2064,2127,"Cat Toy"
2065,2128,"Dog Toy"
2066,2129,"Fish Toy"
2067,2130,"Bird Toy"
2068,2131,"Fish Tank"
2069,2132,"Cat Tower"
2070,2133,"Dog Cage"
2071,2134,"Bird Cage"
2072,2123,"Cat Food"
2073,2124,"Dog Food"
2074,2125,"Fish Food"
2075,2126,"Bird Food"
2076,2127,"Cat Toy"
2077,2128,"Dog Toy"
2078,2129,"Fish Toy"
2079,2130,"Bird Toy"
2080,2131,"Fish Tank"
2081,2132,"Cat Tower"
2082,2133,"Dog Cage"
2083,2134,"Bird Cage"
2084,2123,"Cat Food"
2085,2124,"Dog Food"
2086,2125,"Fish Food"
2087,2126,"Bird Food"
2088,2127,"Cat Toy"
2089,2128,"Dog Toy"
2090,2129,"Fish Toy"
2091,2130,"Bird Toy"
2092,2131,"Fish Tank"
2093,2132,"Cat Tower"
2094,2133,"Dog Cage"
2095,2134,"Bird Cage"
2096,2123,"Cat Food"
2097,2124,"Dog Food"
2098,2125,"Fish Food"
2099,2126,"Bird Food"